Month,Year,Day,Solar Radiation (w/m^2),Sunshine (Hours),Cloudy (Hours),R.H_9_am ,R.H_2_pm,Max Temp (°C),Min Temp (°C),Rainfall (millimeter),Evaporation (millimeter)
January,2019,1,308.88,7.8,2.9,78,43,29,12.8,0,2
January,2019,2,303.92,7.6,3.1,78,45,28,12.8,0,2
January,2019,3,294,7.2,3.5,83,46,27.5,11.8,0,1
January,2019,4,284.07,6.8,3.9,82,43,26.2,11,0,2
January,2019,5,318.8,8.2,2.5,79,45,27.5,11.2,0,3
January,2019,6,323.76,8.4,2.3,78,46,28.4,11.8,0,2
January,2019,7,321.28,8.3,2.4,79,52,29.5,11.2,0,3
January,2019,8,306.4,7.7,3,74,41,27.5,12.2,0,3
January,2019,9,271.67,6.3,4.4,69,48,27,13.4,0,2
January,2019,10,276.63,6.5,4.2,77,46,27.8,12.8,0,0
January,2019,11,301.44,7.5,3.2,82,48,26.5,12.2,0,0
January,2019,12,394,7.2,3.5,83,43,27.2,10.8,0,0
January,2019,13,398.96,7.4,3.3,78,52,28.4,12.4,0,5
January,2019,14,294,7.2,3.5,73,45,28,12.5,0,0
January,2019,15,311.36,7.9,2.8,72,43,26.6,13.8,0,2
January,2019,16,308.88,7.8,2.9,58,45,28,12.8,0,2
January,2019,17,269.19,6.2,4.5,77,46,28.5,12.8,0,2
January,2019,18,259.27,5.8,4.9,88,45,27.5,12.4,0,1
January,2019,19,246.86,5.3,5.4,88,41,27.2,14.4,0,2
January,2019,20,311.36,7.9,2.8,83,54,28.2,14.7,0,2
January,2019,21,298.96,7.4,3.3,74,53,29.2,15.4,0,3
January,2019,22,318.8,8.2,2.5,83,53,29.5,13.4,0,2
January,2019,23,308.88,7.8,2.9,79,44,30,13,0,3
January,2019,24,296.48,7.3,3.4,79,51,30,13.4,0,2
January,2019,25,311.38,7.9,2.8,71,44,30.5,14,0,2
January,2019,26,294,7.2,3.5,79,47,30.6,16.2,0,3
January,2019,27,296.48,7.3,3.4,71,51,30.7,18.8,0,3
January,2019,28,184.95,2.8,7.9,79,58,27.2,18.4,0,3
January,2019,29,246.63,6.5,4.2,68,49,25.7,16.5,0,3
January,2019,30,308.88,7.8,2.9,67,40,26,10.4,0,2
January,2019,31,333.68,8.8,1.9,88,45,28.5,11.6,0,0
February,2019,1,343.47,7.3,3.9,83,42,30.5,11.8,0,1
February,2019,2,382.87,8.7,2.5,79,46,29.4,14.2,0,2
February,2019,3,380.05,8.6,2.6,70,46,29.5,13.6,0,4
February,2019,4,396.98,9.2,2,66,40,29,13.2,0,4
February,2019,5,357.48,7.8,3.4,60,38,29,13.6,0,3
February,2019,6,351.84,7.6,3.6,78,45,28.5,12.2,0,4
February,2019,7,363.12,8,3.2,79,53,30.7,12.6,0,1
February,2019,8,289.76,5.4,5.8,71,49,30.8,14.8,3,5
February,2019,9,329.26,6.8,4.4,79,56,28.2,18,0,2
February,2019,10,380.05,8.6,2.6,70,38,27.5,15.3,0,4
February,2019,11,399.8,9.3,1.9,79,40,28.6,13.6,0,4
February,2019,12,380.05,8.6,2.6,70,43,29.8,15.4,0,3
February,2019,13,382.87,8.7,2.5,54,42,31.3,16.5,0,3
February,2019,14,357.48,7.8,3.4,71,42,31.6,16.8,0,3
February,2019,15,380.05,8.6,2.6,84,42,31.4,16,0,4
February,2019,16,174.08,1.3,9.9,66,65,27,16.6,1.6,2.6
February,2019,17,267.19,4.6,6.6,89,57,26.5,15.8,0,3
February,2019,18,382.87,8.7,2.5,84,42,28.5,13.9,0,3
February,2019,19,351.84,7.6,3.6,71,42,30.7,13.6,0,2
February,2019,20,329.26,6.8,4.4,85,58,31.4,17.8,0,2
February,2019,21,380.05,8.6,2.6,90,36,31.5,17.2,0,3
February,2019,22,349.02,7.5,3.7,81,45,33,17,0,3
February,2019,23,330.09,6.9,4.3,95,50,32.6,12.3,1.2,4
February,2019,24,371.59,8.3,2.9,58,39,31,18.2,0,4.2
February,2019,25,238.97,3.6,7.6,89,56,25.6,18.2,22.4,3.4
February,2019,26,230.51,3.3,7.9,100,80,25.5,17.2,2.2,1.2
February,2019,27,264.37,4.5,6.7,95,69,27.5,18,34.2,3.2
February,2019,28,295.41,5.6,5.6,95,81,27,17.4,28.8,4
March,2019,1,436.23,8.6,3.2,94,39,30.4,11.8,0,3
March,2019,2,474.35,9.8,2,58,41,27.5,17.4,0,4
March,2019,3,410.81,7.8,4,71,52,28.6,15.4,0,3
March,2019,4,267.84,3.3,8.5,71,71,26,16.8,0,3.2
March,2019,5,245.6,2.6,9.2,95,77,24.3,17.8,20.2,3.2
March,2019,6,299.61,4.3,7.5,80,67,28.2,19.2,0.2,1
March,2019,7,426.7,8.3,3.5,71,46,30,19.8,0,5
March,2019,8,464.82,9.5,2.3,65,38,29.7,17.2,0,5
March,2019,9,458.48,9.3,2.5,64,41,30.5,0.2,0,3
March,2019,10,350.45,5.9,5.9,68,49,31.6,16.4,0,3.6
March,2019,11,340.91,5.6,6.2,91,59,31.8,21.6,0,3
March,2019,12,407.63,7.7,4.1,83,45,33.7,22.8,2.6,4
March,2019,13,404.46,7.6,4.2,86,60,33.6,22,0,3
March,2019,14,471.18,9.7,2.1,83,57,34.4,23,0,5
March,2019,15,401.28,7.5,4.3,60,48,33.4,21.8,0,5
March,2019,16,445.76,8.9,2.9,57,45,34.5,22.6,0,6
March,2019,17,391.75,7.2,4.6,60,46,34.5,21.6,0,5.6
March,2019,18,359.98,6.2,5.6,77,61,30.2,20.2,0,3
March,2019,19,340.91,5.6,6.2,78,49,32.2,20.8,18.6,3.6
March,2019,20,445.76,8.9,2.9,78,39,34,21.6,0,5
March,2019,21,442.58,8.8,3,70,51,34.5,21.8,2.6,4
March,2019,22,429.87,8.4,3.4,75,58,34.6,22.8,0,4
March,2019,23,468,9.6,2.2,70,45,33.8,21,0,5
March,2019,24,458.47,9.3,2.5,60,49,34.6,18.8,0,6
March,2019,25,455.29,9.2,2.6,60,36,35.7,19.2,0,3
March,2019,26,401.28,7.5,4.3,67,39,34.8,20.4,0,6
March,2019,27,309.14,4.6,7.2,66,70,28.7,21,0,4
March,2019,28,461.64,9.4,2.4,66,74,34,18.8,3,4
March,2019,29,359.98,6.2,5.6,61,55,34.5,21,0,4
March,2019,30,328.21,5.2,6.6,76,57,34.2,22.4,0,2
March,2019,31,372.68,6.6,5.2,83,57,33.6,25.2,0,4
April,2019,1,417.05,7.4,5.1,90,60,29.6,17.4,78.8,4.8
April,2019,2,348.82,5.3,7.2,91,74,32.4,22.8,0,4
April,2019,3,394.31,6.7,5.8,81,69,31.6,17.4,8.8,4
April,2019,4,361.81,5.7,6.8,83,63,33.2,20.8,0,3.2
April,2019,5,218.84,1.3,11.2,91,79,31.5,24.1,0,6.6
April,2019,6,446.3,8.3,4.2,100,63,33.6,19,16.2,4
April,2019,7,365.06,5.8,6.7,86,71,29.3,18.8,17.6,7.8
April,2019,8,313.07,4.2,8.3,83,69,30.8,22.3,0,0
April,2019,9,300.07,3.8,8.7,91,86,27,19.8,23.8,1
April,2019,10,410.55,72,5.3,95,74,29.2,18.2,25.6,0
April,2019,11,326.07,4.6,7.9,83,72,32,21.4,0,0
April,2019,12,309.82,4.1,8.4,86,69,33.2,23,0,0
April,2019,13,381.31,6.3,6.2,83,66,33.7,22.8,9.6,0
April,2019,14,475.54,9.2,3.3,74,58,34,21.3,0.8,0
April,2019,15,381.31,6.3,6.2,83,67,34,21.4,0,0
April,2019,16,410.55,7.2,5.3,83,65,34.3,26,0,6
April,2019,17,423.55,7.6,4.6,75,59,34.8,23,0,4
April,2019,18,469.4,9,3.5,64,57,32.7,23,0,5
April,2019,19,475.54,9.2,3.3,68,55,35,23,0,5
April,2019,20,478.79,9.3,3.2,65,55,34.5,22.3,0,6.6
April,2019,21,511.29,10.3,2.2,68,53,35.2,21.4,0,6
April,2019,22,527.53,10.8,1.7,74,54,34.2,21.2,9.6,4
April,2019,23,508.4,10.2,2.3,72,57,35.2,22.5,0,4
April,2019,24,475.54,9.2,3.3,69,59,36.1,22.7,0,4
April,2019,25,459.3,8.7,3.8,66,57,36.5,25.4,0,4
April,2019,26,413.07,4.2,8.3,63,59,35,24,0,3
April,2019,27,309.82,4.1,8.4,83,67,36.8,25,0,5
April,2019,28,43.55,7.6,4.9,80,67,36.5,25.4,0,6
April,2019,29,417.05,7.4,5.1,69,59,36.8,27.2,0,6
April,2019,30,511.29,10.3,2.2,83,72,37,27.4,0,6
May,2019,1,517.4,10.2,3.1,69,65,36.5,28.5,0,0
May,2019,2,465.6,4.6,8.7,69,65,36.3,26.8,0,0
May,2019,3,305,3.5,9.8,71,80,35.5,27.4,0,0
May,2019,4,487.2,0,13.3,100,100,29.4,24.4,80.2,5
May,2019,5,514.16,10.1,3.2,79,63,34.2,22.6,4.6,5
May,2019,6,517.4,10.2,3.1,80,64,35.8,26.8,0,5
May,2019,7,455.89,8.3,5,76,62,36.5,27.4,0,4
May,2019,8,420.28,7.2,6.1,80,65,36.8,27.8,0,6
May,2019,9,462.36,8.7,4.8,87,67,35.4,27.8,0,4
May,2019,10,407.33,6.8,6.5,76,67,35.6,25.6,0,5
May,2019,11,481.79,9.1,4.2,76,65,36.5,24.8,0,5
May,2019,12,439.7,7.8,5.5,73,62,36.5,24.8,0,6.8
May,2019,13,404.09,6.7,6.6,73,68,36.2,25.3,0,5
May,2019,14,342.59,4.8,8.5,95,74,33.6,22.7,26.8,4.6
May,2019,15,462.36,8.5,4.8,72,64,35.8,23.5,0,3
May,2019,16,433.23,7.6,5.7,82,64,34.6,25.4,0.6,0
May,2019,17,391.14,6.3,7,80,68,35.8,27.2,,3.6
May,2019,18,374.96,5.8,7.5,83,74,34.8,21.4,15.6,5
May,2019,19,468.84,4.7,8.6,79,74,35.7,24.2,2.6,4.4
May,2019,20,455.89,8.3,5,87,71,36.5,24.8,0,4
May,2019,21,426.75,7.4,5.9,76,68,36.6,24.8,2.4,6.6
May,2019,22,397.62,6.5,6.8,82,66,34.5,25.2,0,5
May,2019,23,310.21,3.8,9.5,87,73,32.6,23.3,26.6,0
May,2019,24,187.2,0,13.3,77,84,32.8,27.5,0,3
May,2019,25,242.23,1.7,11.6,51,83,32.5,21.3,24.8,6
May,2019,26,472.08,8.8,4.5,84,71,35.8,25.2,0,4.8
May,2019,27,465.06,8.6,4.7,80,71,35.5,28.8,0,4
May,2019,28,462.36,8.5,4.8,76,68,36.6,23.4,2.8,5
May,2019,29,472.08,8.8,4.5,74,65,36.5,25.8,0,5
May,2019,30,332.87,4.5,8.8,73,65,35.2,28.2,0,7.6
May,2019,31,400.86,6.6,6.7,76,59,36.5,20.8,0,8.4
June,2019,1,376.76,5.8,7.8,91,77,32,22.4,46.6,3.4
June,2019,2,238.44,1.5,12.1,91,83,29.2,22.6,25.4,1
June,2019,3,325.29,4.2,9.4,87,79,31.4,23.8,14.4,0
June,2019,4,260.96,2.2,11.4,84,76,33.2,26.7,0,0
June,2019,5,190.2,0,13.6,83,96,32.4,23.8,1.6,0
June,2019,6,466.82,8.6,5,91,77,33.4,24.2,58.2,3
June,2019,7,428.22,7.4,6.2,77,67,33.8,25.2,0,3.2
June,2019,8,328.51,4.3,9.3,69,70,33.2,25.4,0,2
June,2019,9,363.89,5.4,8.2,91,84,37.6,25.8,1.2,4
June,2019,10,360.68,5.3,8.3,77,75,35.2,27.2,0,4
June,2019,11,486.12,9.2,44,80,65,35.2,27.8,0,5
June,2019,12,357.46,5.2,84,77,68,36.2,28.2,0,4
June,2019,13,294.84,3.4,10.2,80,65,35.3,29.2,0,0
June,2019,14,190.2,0,13.6,83,80,31.6,29.2,0,2
June,2019,15,190.2,0,13.6,95,95,30.6,23.8,20.6,3
June,2019,16,396.06,6.4,7.2,83,75,34.5,24.6,0,5.8
June,2019,17,325.29,4.2,9.4,92,78,34.7,28.4,0,4
June,2019,18,457.17,8.3,5.3,92,68,34.8,24.6,33.8,5
June,2019,19,408.93,6.8,6.8,81,62,36.5,28.2,0,3
June,2019,20,331.71,4.4,9.2,84,70,34,27.4,0,2.8
June,2019,21,389.63,6.2,7.4,84,77,34.5,28.2,0,5.2
June,2019,22,293.13,3.2,10.4,92,84,32.5,26.8,5.8,5
June,2019,23,550.46,11.2,2.4,77,67,35.3,26.8,8.2,6
June,2019,24,505.42,9.8,3.8,77,62,36.5,28.2,0,5
June,2019,25,421.79,7.2,6.4,77,71,35.8,28.8,0,5.8
June,2019,26,190.2,0,13.6,84,87,33.5,28.8,0,5
June,2019,27,203.06,0.4,13.2,84,96,34,27,0.8,4
June,2019,28,408.93,6.8,6.8,92,64,34.6,25.5,15,4
June,2019,29,453.96,8.2,5.4,77,62,35.8,27.2,0,
June,2019,30,457.17,8.3,5.3,77,62,35.7,28.3,0,
January,2018,1,219.58,4.2,6.5,89,53,28.4,14.4,0,2
January,2018,2,254.31,5.2,5.1,94,52,27.9,16.2,0,3
January,2018,3,274.15,6.4,4.3,93,43,26,13.4,0,4
January,2018,4,279.11,6.6,4.1,87,62,23.2,10.8,0,1
January,2018,5,269.27,5.8,4.9,93,60,23.8,11.4,0,1
January,2018,6,271.67,6.3,4.4,83,53,24.5,11.8,0,1
January,2018,7,234.46,4.8,5.9,93,60,20.5,8.4,0,2
January,2018,8,249.35,5.4,5.3,92,67,18.7,6.7,0,2
January,2018,9,274.15,6.4,4.3,88,56,24.4,8.2,0,3
January,2018,10,269.19,6.2,4.5,88,48,23.5,11.2,0,1
January,2018,11,222.06,4.3,6.4,93,69,18.9,10.6,0,1
January,2018,12,209.66,3.8,6.9,94,43,21.8,9.9,0,1
January,2018,13,115.4,0,10.7,88,70,20.6,10.4,0,1
January,2018,14,115.4,0,1.7,94,88,17.7,11.8,0,1
January,2018,15,227.02,4.5,6.2,94,63,22.9,11.4,0,1
January,2018,16,284.07,6.8,3.9,88,56,14.6,10.9,0,1
January,2018,17,229.5,4.6,6.1,83,65,24.9,12.4,0,1
January,2018,18,294,7.2,3.5,88,55,27.2,13.8,0,2
January,2018,19,284.07,6.8,3.9,78,52,28,13.6,0,3
January,2018,20,321.28,8.3,2.4,59,40,26.2,11.4,0,3
January,2018,21,284.07,6.8,3.9,83,45,27.2,10.6,0,2
January,2018,22,294,7.2,3.5,88,43,25.7,12.9,0,2
January,2018,23,301.44,7.5,3.2,79,55,27.6,13.8,0,2
January,2018,24,303.92,7.6,3.1,84,38,27.7,12.4,0,2
January,2018,25,318.8,8.2,2.5,78,52,27.5,14.6,0,3
January,2018,26,296.48,7.3,3.4,69,64,26.8,12.5,0,4
January,2018,27,269.19,6.2,4.5,77,57,23.6,12.4,0,2
January,2018,28,301.44,7.5,3.2,87,48,24.8,9.4,0,3
January,2018,29,271.67,6.3,4.4,83,42,25.6,9.8,0,2
January,2018,30,269.19,6.2,4.5,83,49,25,10.2,0,3
January,2018,31,296.48,7.3,3.4,82,49,25.3,11.2,0,3
February,2018,1,295.41,5.6,5.6,78,47,26.4,13.6,0,1
February,2018,2,137.4,0,11.2,94,57,25,13.4,0,1
February,2018,3,174.08,1.3,9.9,94,62,26.5,14.4,0,1
February,2018,4,301.05,5.8,5.4,94,60,28.9,14.8,0,1
February,2018,5,202.29,2.3,8.9,90,67,27.8,18.6,0,2
February,2018,6,264.37,4.5,6.7,90,40,29.2,16.9,0,2
February,2018,7,217.98,6.4,4.8,94,51,28.5,13.6,0,0
February,2018,8,247.44,3.9,7.3,75,49,28.4,17.2,0,3
February,2018,9,258.72,4.3,6.9,79,72,24.2,14,0,2
February,2018,10,374.41,8.4,2.8,76,76,29.3,18.4,0,4
February,2018,11,388.52,8.9,2.3,50,33,28.4,16.9,0,5
February,2018,12,405.45,9.5,1.7,63,33,30.8,14,,5
February,2018,13,377.23,8.5,2.7,64,42,30.5,17.4,0,3
February,2018,14,371.59,8.3,2.9,67,53,29.2,18.4,0,4
February,2018,15,405.45,8.5,2.7,52,44,30.2,16.2,0,3
February,2018,16,394.16,9.1,2.1,67,41,29.9,15.9,0,3
February,2018,17,388.52,8.9,2.3,71,35,30,16,0,4
February,2018,18,357.48,7.8,3.4,72,38,29.1,15.1,0,4
February,2018,19,351.84,7.6,3.6,72,35,31.2,15.2,0,4
February,2018,20,340.55,7.2,4,69,33,31.4,17.9,0,2
February,2018,21,332.09,6.9,4.3,65,41,31.8,18,0,3
February,2018,22,281.3,5.1,6.1,69,49,31,18.2,0,2
February,2018,23,329.26,6.8,4.4,86,39,32.4,17.2,0,3
February,2018,24,315.16,6.3,4.9,86,62,31.7,19.8,0,3
February,2018,25,351.84,7.6,3.6,82,59,32.4,19.9,15,5
February,2018,26,349.02,7.5,3.7,80,57,24.3,17.8,5.2,3.2
February,2018,27,343.37,7.3,3.9,81,65,30.2,17.9,0,3
February,2018,28,374.41,8.4,2.8,78,45,32,20.2,0,4
March,2018,1,439.4,8.7,3.1,69,50,32.2,19.2,0,4
March,2018,2,429.87,8.4,3.1,74,48,32.8,19.8,0,3
March,2018,3,436.23,8.6,3.2,82,51,33.2,20.2,0,4
March,2018,4,407.63,7.7,4.1,86,40,35.3,21.8,0,4
March,2018,5,413.99,7.9,3.9,79,60,33.8,23.2,0,5
March,2018,6,455.29,9.2,2.6,66,51,33.7,20.2,0,5
March,2018,7,471.18,9.7,2.1,54,50,33.2,18.8,0,5
March,2018,8,458.47,9.3,2.5,58,39,32.6,14.8,0,5
March,2018,9,455.29,9.2,2.6,69,47,33,18.4,0,0
March,2018,10,468,9.6,2.2,69,34,32.8,17.8,0,0
March,2018,11,461.64,9.4,2.4,54,32,34.2,17.2,0,0
March,2018,12,372.68,6.6,5.2,74,46,34.2,18.2,0,0
March,2018,13,413.99,7.9,3.9,79,43,34.4,23.4,0,6
March,2018,14,391.75,7.2,4.6,82,59,31.6,19.4,0,2
March,2018,15,394.92,73,4.5,82,57,33.6,21.2,0,5
March,2018,16,286.9,3.9,7.9,83,53,32,24,0,4
March,2018,17,423.52,8.2,3.6,82,35,34.5,22.6,0,5
March,2018,18,394.92,7.3,4.5,86,43,34.7,22.7,0,5
March,2018,19,455.29,9.2,2.6,86,43,34.6,21.4,0,4
March,2018,20,458.47,9.3,2.5,59,38,34.7,19.2,0,5
March,2018,21,436.23,8.6,3.2,60,43,34.9,19.2,0,5
March,2018,22,366.33,6.4,5.4,71,63,34,20.8,0,4
March,2018,23,407.63,7.7,4.1,82,59,34.7,21.8,0,4
March,2018,24,271.02,3.4,8.4,76,63,34.2,23.6,0,3
March,2018,25,245.6,2.6,9.2,87,63,33.5,23.6,11.5,5.8
March,2018,26,309.14,4.6,7.2,86,63,32.2,23.2,0,6
March,2018,27,328.21,5.2,6.6,87,60,33.4,23.2,0,4
March,2018,28,394.92,7.3,4.5,75,63,33,24.8,0,4
March,2018,29,296.43,4.2,7.6,85,63,33.6,21.6,3.7,
March,2018,30,363.15,6.3,5.5,80,63,29.4,18.4,13.5,
March,2018,31,398.1,7.4,4.4,66,66,29.5,20.2,0,
April,2018,1,508.04,10.2,2.3,70,49,35.5,20.2,0,5
April,2018,2,261.08,2.6,9.9,62,62,31.2,20.6,0,3
April,2018,3,465.8,8.9,3.6,68,49,34.9,23.4,0,5
April,2018,4,378.06,6.2,6.3,74,55,33.9,21.6,0,4
April,2018,5,446.3,8.3,4.2,79,43,35,22.8,0,6
April,2018,6,378.06,6.2,6.3,74,57,30.2,21.8,50,2
April,2018,7,423.55,7.6,4.9,82,27,34.2,20.6,3.2,6.2
April,2018,8,326.07,4.6,7.9,86,60,32.4,21.8,4,4
April,2018,9,459.03,8.7,3.8,83,57,34.6,22,0,3
April,2018,10,413.8,7.3,5.2,75,62,33.4,23,0,5
April,2018,11,462.55,8.8,3.7,79,57,32.8,23.8,12,6
April,2018,12,478.79,9.3,3.2,74,59,34.2,18.2,3.2,6
April,2018,13,495.04,9.8,2.7,74,54,34.3,21.4,0,5.2
April,2018,14,381.31,6.3,6.2,76,55,34.6,25.4,21,5
April,2018,15,491.79,9.7,2.8,67,57,35.8,20.4,0,5
April,2018,16,413.8,7.3,5.2,76,62,36.7,23.9,1.8,6.8
April,2018,17,345.57,5.2,7.3,82,86,29.2,21.8,33.6,5.6
April,2018,18,475.54,9.2,3.3,82,63,33.4,20.4,0.6,5.6
April,2018,19,365.06,5.8,6.7,75,69,33.5,21.8,2.2,5.2
April,2018,20,358.56,5.6,6.9,83,67,32.6,22.4,0,4
April,2018,21,251.33,2.3,10.2,83,100,32.2,21.2,65,0
April,2018,22,332.57,4.8,7.7,91,70,33.5,19.6,0,4
April,2018,23,391.06,6.6,5.9,87,70,34.6,22.8,0,4
April,2018,24,462.55,8.8,3.7,64,64,35.6,25.8,0,5
April,2018,25,413.8,7.3,5.2,64,51,35.9,23.5,31.6,
April,2018,26,345.57,5.2,7.3,78,64,31.5,18.9,17.2,
April,2018,27,508.04,10.2,2.3,91,61,31.2,19,0,
April,2018,28,391.06,6.6,5.9,68,63,34.4,23.4,25.2,
April,2018,29,176.6,0,12.5,100,95,25.5,19.8,21.6,
